330,TIM
331,TIM
333,TIM
334,TIM
335,TIM
336,TIM
337,TIM
338,TIM
339,TIM
360,TIM
363,TIM
366,TIM
368,TIM
3513,ILIAD
3514,ILIAD
3515,ILIAD
3516,ILIAD
3517,ILIAD
3518,ILIAD
3519,ILIAD
3520,ILIAD
340,Vodafone
342,Vodafone
345,Vodafone
346,Vodafone
347,Vodafone
348,Vodafone
349,Vodafone
320,WindTre
323,WindTre
327,WindTre
328,WindTre
329,WindTre
380,WindTre
383,WindTre
388,WindTre
389,WindTre
390,WindTre
391,WindTre
392,WindTre
393,WindTre
397,WindTre
3773,1Mobile
3793,1Mobile
3710,BT Mobile
3777,BT Mobile
3311,CoopVoce
3703,CoopVoce
3534,CoopVoce
3778,Daily Telecom Mobile
373,Fastweb
3755,Fastweb
3756,Fastweb
3757,Fastweb
3770,ho. mobile
3791,ho. mobile
3792,ho. mobile
3500,Kena mobile
3501,Kena mobile
3505,Kena mobile
373,Lycamobile
3509,Lycamobile
3510,Lycamobile
3511,Lycamobile
3512,Lycamobile
382,Lycamobile
3760,Plintron
3711,PosteMobile
3713,PosteMobile
3714,PosteMobile
3715,PosteMobile
3772,PosteMobile
3774,PosteMobile
3776,PosteMobile
3779,PosteMobile
3780,Spusu
3701,Tiscali Mobile
3783,Welcome Italia
320,Verymobile
